Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code
12/30/25,K253532,TruSPECT Processing Station,"Spectrum Dynamics Medical, Ltd.",Radiology,QIH
12/23/25,K253091,ART-Plan+ (v3.1.0),Therapanacea Sas,Radiology,MUJ
12/23/25,K252379,AIR Recon DL,"Ge Medical Systems, LLC",Radiology,LNH
12/22/25,K252557,Lumify Diagnostic Ultrasound System,"Philips Ultrasound, LLC",Radiology,IYN
12/22/25,K252856,PeekMed web,"Peek Health, S.A.",Radiology,QIH
12/22/25,K253664,SKOUT system,Iterative Health,Gastroenterology-Urology,QNP
12/22/25,K250959,BioticsAI,"Bioticsai, Inc.",Radiology,IYN
12/19/25,K252670,Alzevita,TOPIA MEDTECH LIMITED,Radiology,QIH
12/19/25,K252029,AI-CVD,HeartLung Corporation,Radiology,QIH
12/19/25,K252284,eMurmur Heart AI,Csd Labs,Cardiovascular,DQD
12/19/25,K252838,MAGNETOM Sola; MAGNETOM Altea; MAGNETOM Sola Fit; MAGNETOM Viato.Mobile; MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Vida Fit; MAGNETOM Flow.Elite; MAGNETOM Flow.Neo; MAGNETOM Flow.Rise,Siemens Healthcare GmbH,Radiology,LNH
12/18/25,K253516,Assert-IQ (DM5100),Abbott Medical,Cardiovascular,MXD
12/18/25,K250914,MediAI-BA,"Crescom Co., Ltd.",Radiology,QIH
12/18/25,K252235,PVAD IQ Software,"Ultrasight , Ltd.",Radiology,QIH
12/17/25,K251416,UltraSight Guidance,"Ultrasight , Ltd.",Radiology,QJU
12/17/25,K252922,Neosoma Brain Mets,"Neosoma, Inc.",Radiology,QIH
12/16/25,K252204,prolaio eVO2peak Module (Version 1.0),"Prolaio, Inc.",Cardiovascular,PPW
12/16/25,K251763,IRISeg,"Intuitive Surgical, Inc.",Radiology,QIH
12/12/25,K253489,Swoop® Portable MR Imaging® System,"Hyperfine, Inc.",Radiology,LNH
12/11/25,K253141,DeepRhythmAI,Medicalgorithmics S.A.,Cardiovascular,DQK
12/11/25,K252482,CogNet AI-MT+,"Medcognetics, Inc.",Radiology,QFM
12/10/25,K252497,SANSA HSAT,Huxley Medical,Anesthesiology,MNR
12/9/25,K243449,INFINITT DPS,"Infinitt Healthcare Co., Ltd.",Pathology,QKQ
12/8/25,K252294,Fetal EchoScan (v1.2),Brightheart,Radiology,POK
12/8/25,K251936,Ceribell Delirium Monitor System,"Ceribell, Inc.",Neurology,NCG
12/5/25,K251514,Overjet CBCT Assist,"Overjet, Inc.",Radiology,QIH
12/5/25,K252504,Gastric Alimetry,"Alimetry , Ltd.",Gastroenterology-Urology,MYE
12/5/25,K251657,Personalized Therapy Comfort Settings (PTCS),ResMed Corp,Anesthesiology,BZD
12/5/25,K250780,ARTAssistant,"Manteia Technologies Co., Ltd.",Radiology,QKB
12/3/25,K251203,AVIEW Lung Nodule CAD,"Coreline Soft Co.,Ltd",Radiology,OEB
12/2/25,K252103,Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX),Mighty Oak Medical,Radiology,QIH
12/1/25,K251370,Cartesion Prime (PCD-1000A/3) V10.21,Canon Medical Systems Corporation,Radiology,KPS
11/28/25,K252217,CT VScore+,"Canon Medical Informatics, Inc.",Radiology,JAK
11/26/25,K253269,OEC One CFD,"Ge Hualun Medical Systems Co. , Ltd.",Radiology,OXO
11/25/25,K253310,7600 Ultrasound System (MyLabC25); 7600 Ultrasound System (MyLabC30),"Esaote, S.P.A.",Radiology,IYN
11/25/25,K250694,Scaida BrainCT-ICH (v1.0),Mlhealth 360,Radiology,QAS
11/24/25,K252328,Voluson Expert 18; Voluson Expert 20; Voluson Expert 22,Ge Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN
11/24/25,K252366,a2z-Unified-Triage,"A2z Radiology Ai, Inc.",Radiology,QAS
11/21/25,K251506,Nelli (Version 7.11),Neuro Event Labs OY,Neurology,POS
11/21/25,K251293,CardioVision,Icardio.Ai,Cardiovascular,QUO
11/20/25,K251822,MAGNETOM Free.Max; MAGNETOM Free.Star,"Siemens Shenzhen Magnetic Resonance , Ltd.",Radiology,LNH
11/17/25,K252086,DTX Studio Assist,Nobel Biocare C/O Medicim NV,Radiology,MYN
11/17/25,K252330,DeepRESP,Nox Medical Ehf,Neurology,OLZ
11/14/25,K250525,Second Opinion® Panoramic,"Pearl, Inc.",Radiology,MYN
11/14/25,K251078,AutoDensity,Eos Imaging,Radiology,QIH
11/12/25,K252452,PeekMed web,"Peek Health, S.A.",Radiology,QIH
11/7/25,K250264,SugarBug (1.x),"Bench7, Inc.",Radiology,MYN
11/7/25,K252041,Fibresolve (with PCCP),"Imvaria, Inc.",Radiology,QWO
11/6/25,K253265,BriefCase-Triage,"Aidoc Medical , Ltd.",Radiology,QAS
11/3/25,K251532,Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX),Mighty Oak Medical,Radiology,LLZ
11/3/25,K250330,3mensio Workstation,Pie Medical Imaging BV,Radiology,QIH
