unit_code,nct_id,lead_sponsor,sponsor_class,conditions,enrollment,female_share_pct,share_of_unit_participants_pct,frame_stamp
AR,NCT01875861,VA Office of Research and Development,FED,Psychological Well-Being; Psychotic Disorders; Metabolic Syndrome,44334,11.93,81.35,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
AR,NCT00569855,University of Arkansas,OTHER,,785,49.68,1.44,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
AR,NCT02779556,University of Arkansas,OTHER,Diabetes Mellitus,756,67.46,1.39,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
AR,NCT00083551,University of Arkansas,OTHER,Multiple Myeloma; Neoplasms,668,40.72,1.23,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
IN,NCT01446705,VA Office of Research and Development,FED,Diabetes Mellitus; Asthma; Cardiovascular Diseases,57073,7.22,45.87,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
IN,NCT00097591,Eli Lilly and Company,INDUSTRY,Coronary Artery Disease; Acute Coronary Syndrome,13608,25.89,10.94,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
IN,NCT03300180,Indiana University,OTHER,Alzheimer Disease,3615,60.39,2.91,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
IN,NCT01699503,Indiana University,OTHER,Dementia; Alzheimer Disease; Cognitive Dysfunction,3416,66.04,2.75,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
LA,NCT04748445,Pfizer,INDUSTRY,"COVID-19; Coronavirus Infections; Influenza, Human",9151,79.06,28.68,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
LA,NCT03443635,Tulane University,OTHER,Cardiovascular Diseases; Nutrition Disorders; Diabetes Mellitus,7192,61.53,22.54,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
LA,NCT03702244,"HeartFlow, Inc.",INDUSTRY,Coronary Artery Disease,2103,49.79,6.59,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
LA,NCT00289315,Pennington Biomedical Research Center,OTHER,Pediatric Obesity,2015,58.36,6.31,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
MD,NCT01696968,National Cancer Institute (NCI),NIH,Lung Neoplasms,154901,50.49,31.8,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
MD,NCT01696981,National Cancer Institute (NCI),NIH,Colonic Neoplasms; Rectal Neoplasms,154900,50.49,31.8,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
MD,NCT01783743,Johns Hopkins University,OTHER,Trichiasis; Trachoma,27473,53,5.64,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
MD,NCT02402881,Johns Hopkins University,OTHER,Venous Thromboembolism; Venous Thrombosis; Pulmonary Embolism,19652,48.35,4.03,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
MI,NCT05065502,VA Office of Research and Development,FED,Sleep Initiation and Maintenance Disorders,145675,6.43,58.39,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
MI,NCT00689091,University of Michigan,OTHER,,18836,55.2,7.55,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
MI,NCT04912700,Corewell Health East,OTHER,COVID-19; Breakthrough Infections,11834,52.76,4.74,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
MI,NCT01584479,University of Michigan,OTHER,Periodontitis,5117,65.78,2.05,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
RI,NCT05579600,Butler Hospital,OTHER,Suicide; Self-Injurious Behavior,45155,38.38,72.14,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
RI,NCT04195880,VA Office of Research and Development,FED,,6543,2.97,10.45,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
RI,NCT02306122,Brown University,OTHER,Diabetes Mellitus; Hypertension; Hypercholesterolemia,1565,35.4,2.5,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
RI,NCT04372238,Brown University,OTHER,Opiate Overdose; Drug Overdose; Substance-Related Disorders,476,34.87,0.76,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw+tw_median|GL=us_state
