geo_level,geo_code,geo_name,tier,estimand,metric,value,lo,hi,n_trials,n_participants,gate_status,gate_reason,display_rule,crosses_parity,below_support_floor,pct_participants_exact,top_trial_id,top_trial_share_pct,concentration_flag,support_share,delta_from_raw_pp,extrapolation_pp,frame_stamp,snapshot_date,run_id
country,USA,United States,1,pw_raw,female_share_pct,49.61,,,34824,22267105,pass,,show,false,false,0.25,NCT04053075,13.02,false,,,0.01,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw|GL=country,2026-06-19,geo_rep_2026-06-19_run063
country,JPN,Japan,1,pw_raw,female_share_pct,43.9,,,1217,1308659,pass,,show,false,false,0.07,NCT05321810,14.79,false,,,0.35,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw|GL=country,2026-06-19,geo_rep_2026-06-19_run063
country,GBR,United Kingdom,1,pw_raw,female_share_pct,52.7,,,1123,2246649,pass,,show,false,false,0.05,NCT04969653,33.59,false,,,1.58,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw|GL=country,2026-06-19,geo_rep_2026-06-19_run063
country,CHN,China,1,pw_raw,female_share_pct,47.31,,,935,2151656,pass,one trial supplies 77.1% of this geography's participants,badge_concentration,false,false,0.1,NCT04903496,77.12,true,,,1.19,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw|GL=country,2026-06-19,geo_rep_2026-06-19_run063
country,CAN,Canada,1,pw_raw,female_share_pct,55.22,,,917,780479,pass,,show,false,false,0.28,NCT02975375,34.15,false,,,3.57,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw|GL=country,2026-06-19,geo_rep_2026-06-19_run063
country,DEU,Germany,1,pw_raw,female_share_pct,43.56,,,754,416870,pass,,show,false,false,0.37,NCT05162014,34.84,false,,,0.47,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw|GL=country,2026-06-19,geo_rep_2026-06-19_run063
country,KOR,South Korea,1,pw_raw,female_share_pct,54.94,,,441,660555,pass,one trial supplies 56% of this geography's participants,badge_concentration,false,false,0.05,NCT04446039,56.05,true,,,0.4,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw|GL=country,2026-06-19,geo_rep_2026-06-19_run063
country,FRA,France,1,pw_raw,female_share_pct,45.77,,,392,1471854,pass,one trial supplies 94.5% of this geography's participants,badge_concentration,false,false,0.02,NCT05838664,94.46,true,,,2.23,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw|GL=country,2026-06-19,geo_rep_2026-06-19_run063
country,ITA,Italy,1,pw_raw,female_share_pct,45.99,,,337,78187,pass,,show,false,true,0.94,NCT02928536,15.22,false,,,3.45,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw|GL=country,2026-06-19,geo_rep_2026-06-19_run063
country,ESP,Spain,1,pw_raw,female_share_pct,46.98,,,332,125534,pass,,show,false,false,0.78,NCT03441633,41.18,false,,,0.7,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw|GL=country,2026-06-19,geo_rep_2026-06-19_run063
country,TWN,Taiwan,1,pw_raw,female_share_pct,53.72,,,250,142876,pass,one trial supplies 69.5% of this geography's participants,badge_concentration,false,false,0.57,NCT01741363,69.51,true,,,0.43,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw|GL=country,2026-06-19,geo_rep_2026-06-19_run063
country,BEL,Belgium,1,pw_raw,female_share_pct,48.74,,,232,44477,pass,,show,false,true,1.15,NCT03793972,18.34,false,,,2.6,CS=pooled50|GC=post_filter_trials|RM=drop|RI=none|TS=narrow|UG=on|EL=unrestricted|BS=both|ES=pw_raw|GL=country,2026-06-19,geo_rep_2026-06-19_run063
