doi,nct_id_evidence,nct_id,study_name_evidence,study_name,study_title,ses_indicators_evidence,income_reported,education_reported,insurance_status_reported,ses_notes,detailed_race_breakdown_evidence,detailed_race_breakdown,candidate_score,tier,status,provider,model,model_label
Not Reported,Not Reported,NCT01236053,This study employed a cross-sectional survey design targeting oncology health care professionals globally.,Not Reported,"Global cross-sectional survey of oncology health care professionals evaluating workplace characteristics, technology usage patterns, effectiveness, and barriers to adoption of digital health technologies; the survey consisted of 27 questions and was available online for 60 days.",Not Reported,False,False,False,None,Not Reported,None,,Tier 3,Extracted,anthropic,claude-sonnet-4-6,Sonnet 4.6
Not Reported,Trial registration number NCT02788903.,NCT02788903,"We conducted a retrospective cohort study using electronic health records from five academic health systems in Pennsylvania and Maryland, including patients with COVID- 19 with type 2 diabetes or at risk of type 2 diabetes. Patients were classified based on 30- day outcomes: (1) no hospitalization; (2) hospitalization only; or (3) a composite measure including admission to the intensive care unit (ICU), intubation, or death.",Not Reported,"Retrospective cohort study using electronic health records from five academic health systems in Pennsylvania and Maryland, including patients with COVID-19 with type 2 diabetes or at risk of type 2 diabetes, classified into three groups based on 30-day outcomes.",Not Reported,False,False,False,None,Not Reported,None,,Tier 1,Extracted,anthropic,claude-haiku-4-5-20251001,Haiku 4.5
Not Reported,Not Reported,NCT02958995,A retrospective study was conducted to assess the effectiveness of WOAs from both general medical journals (GMJs) and endocrinology medical journals (EMJs) listed in the Chinese Science Citation Database.,Not Reported,"Retrospective study assessing the effectiveness of WeChat Official Accounts (WOAs) of general medical journals and endocrinology medical journals listed in the Chinese Science Citation Database, evaluating articles on endocrine and metabolic diseases posted from January 1, 2021 to December 31, 2023.",Not Reported,False,False,False,None,Not Reported,None,,Tier 3,Extracted,anthropic,claude-opus-4-7,Opus 4.7
Not Reported,comparing RIV4 vs. SD-IIV4 (ClinicalTrials.gov NCT03694392),NCT03694392,This postlicensure observational safety study conducted at Kaiser Permanente Northern California evaluated the subset of pregnant persons vaccinated in routine care as part of a larger cluster-randomized vaccine effectiveness study comparing RIV4 vs. SD-IIV4,Not Reported,"Postlicensure observational retrospective safety cohort study, conducted as a subset of a larger cluster-randomized vaccine effectiveness study comparing RIV4 vs SD-IIV4 in pregnant persons at Kaiser Permanente Northern California during the 2018/19 and 2019/20 influenza seasons.","broadly representative of adults in the state with regard to racial, ethnic, and socioeconomic demographics, although the very lowest incomes are underrepresented.",True,True,False,income: Not Reported - though notes very lowest incomes are underrepresented in KPNC,"Native American 46 0.3 ... 102 0.3 ... 148 0.3 | NativeAmerican 46 0.3(0.2,0.4) 102 0.3(0.2,0.4) 148 0.3(0.3,0.4) | Asian 4620 30.8 ... 9916 29.3 ... 14,536 29.8 | Asian 4620 30.8(30.1,31.6) 9916 29.3(28.9,29.8) 14,536 29.8(29.4,30.2) | Black 620 4.1 ... 1589 4.7 ... 2209 4.5 | Black 620 4.1(3.8,4.5) 1589 4.7(4.5,4.9) 2209 4.5(4.3,4.7) | PacificIslander 153 1.0 ... 287 0.8 ... 440 0.9 | PacificIslander 153 1.0(0.9,1.2) 287 0.8(0.8,1.0) 440 0.9(0.8,1.0) | White 5506 36.8 ... 11,666 34.5 ... 17,172 35.2 | White 5506 36.8(36.0,37.5) 11,666 34.5(34.0,35.0) 17,172 35.2(34.8,35.6) | Multiracial 744 5.0 ... 1678 5.0 ... 2422 5.0 | Multiracial 744 5.0(4.6,5.3) 1678 5.0(4.7,5.2) 2422 5.0(4.8,5.2) | Unknown 3292 22.0 ... 8562 25.3 ... 11,854 24.3 | Unknownb 3292 22.0(21.3,22.6) 8562 25.3(24.9,25.8) 11,854 24.3(23.9,24.7)",white: 17172; black: 2209; asian: 14536; hispanic: 12348; native_american: 148; other: 2862; unknown: 11854,,Tier 1,Extracted,anthropic,claude-opus-4-7,Opus 4.7
Not Reported,The study protocol was registered with clinicaltrials.gov (trial number NCT03818659).,NCT03818659,"We conducted a pragmatic, cluster-randomized, comparative effectiveness trial designed to compare the effectiveness of the BP MAP program with dedicated practice facilitation (""Full Support"") versus a version of the program without practice facilitation (""Self-Guided""), at improving clinic-level BP control at 6 months.",Not Reported,"Pragmatic cluster-randomized comparative effectiveness trial comparing 2 scalable versions of a blood pressure quality improvement program (Full Support with practice facilitation versus Self-Guided with online materials only) in safety-net clinics, with a nonrandomized Usual Care control arm.",Proportions of patients primarily covered by Medicaid: Full-support clinics median 43.24% (IQR 34.15-61.65); Self-Guided clinics median 51.65% (IQR 33.75-67.58),True,True,True,income: Payer mix data reported showing Medicaid as primary payer for 43-52% of patients in intervention clinics and lower percentage in Usual Care,"Race or ethnicity, %: Full-support clinics Asian 1.6 (2.34); Self-Guided clinics Asian 3.8 (5.69); Usual Care Asian 1.7 (0.67) | Race or ethnicity, %: Full-support clinics Black 34.9 (33.8); Self-Guided clinics Black 36.8 (34.6); Usual Care Black 13.4 (15.3) | Race or ethnicity, %: Full-support clinics White 50.3 (33.8); Self-Guided clinics White 29.8 (27.01); Usual Care White 79.2 (15.56) | Race or ethnicity, %: Other/multiple/missing Full-support clinics 3.0 (2.29); Self-Guided clinics 3.2 (2.69); Usual Care 2.5 (0.95)",None,,Tier 1,Extracted,anthropic,claude-haiku-4-5-20251001,Haiku 4.5
Not Reported,"This study is registered with ClinicalTrials.gov, number NCT03948698.",NCT03948698,A before-and-after study was implemented to evaluate the effect of project interventions. Analyses comparing pre-intervention with findings during intervention are restricted to 144 sites enrolled during the initial phase of the project,Not Reported,"Before-and-after observational implementation study evaluating a multi-pronged intervention to improve paediatric TB case finding across 144 health facilities in nine sub-Saharan African countries, comparing pre-intervention with during-intervention outcomes.",Not Reported,False,False,False,None,Not Reported,None,,Tier 1,Extracted,anthropic,claude-opus-4-7,Opus 4.7
Not Reported,"This evaluation is part of the TIPPI study, registered with ClinicalTrials.gov (NCT03948698)... The INPUT study (NCT03862261) is a stepped-wedge trial in Cameroon and Kenya... The CONTACT study (NCT03832023) compared 2 models of care for delivery of HHCM",NCT03948698,"We undertook a health systems perspective cost-utility analysis of the CaP-TB intervention for children aged under 15 years against a standard of care (SoC) in Cameroon, Côte d'Ivoire, Democratic Republic of the Congo (DRC), Kenya, Lesotho, Malawi, Uganda, Tanzania, and Zimbabwe.",Not Reported,"Health system perspective cost-utility analysis of the CaP-TB intervention for children aged under 15 years against a standard of care (SoC) in 9 sub-Saharan African countries, using a pre/post quasi-experimental design with Bayesian generalised linear mixed-effects models to estimate country-level rate ratios and mathematical modelling to project health impact and cost-effectiveness.",Not Reported,False,False,False,None,Not Reported,None,,Tier 1,Extracted,anthropic,claude-sonnet-4-6,Sonnet 4.6
Not Reported,Not Reported,NCT04903496,A retrospective study was conducted to assess the effectiveness of WOAs from both general medical journals (GMJs) and endocrinology medical journals (EMJs) listed in the Chinese Science Citation Database.,Not Reported,"Retrospective study assessing the effectiveness of WeChat Official Accounts (WOAs) from general medical journals (GMJs) and endocrinology medical journals (EMJs) listed in the Chinese Science Citation Database, evaluating articles on endocrine and metabolic diseases published from January 1, 2021 to December 31, 2023, using generalized linear models to identify factors associated with readings and likes.",Not Reported,False,False,False,None,Not Reported,None,,Tier 2,Extracted,anthropic,claude-sonnet-4-6,Sonnet 4.6
Not Reported,Not Reported,NCT04926233,"We performed a secondary analysis of the prospective UK Biobank cohort, including participants aged 37–73 years recruited from 22 assessment centres across the UK between 2006 and 2010. Cox proportional hazards models estimated HRs for incident lung cancer according to respiratory disease status",Not Reported,"Secondary analysis of the prospective UK Biobank cohort using Cox proportional hazards models, mediation analysis, and Mendelian randomisation to assess associations between respiratory diseases and incident lung cancer.","No college degree 304 977.00 (66.47%) 77 977.00 (72.89%) 227 000.00 (64.52%) College or university degree 149 015.00 (32.48%) 27 486.00 (25.69%) 121 529.00 (34.54%) Unknown 4830.00 (1.05%) | Townsend Deprivation Index, mean (SD) −2.15 (3.08) −1.74 (3.28) −2.26 (3.00) <0.001",True,True,False,"education: No college degree 304 977 (66.47%); College or university degree 149 015 (32.48%); Unknown 4830 (1.05%); adi_area_deprivation_index: Townsend Deprivation Index, mean (SD) −2.15 (3.08); <−2.14: 230 300 (50.19%); ≥−2.14: 228 522 (49.81%)",Asian or Asian British 8983.00 (1.96%) | Asian or Asian British 8983.00 (1.96%) 2322.00 (2.17%) 6661.00 (1.89%) | Black or Black British 6912.00 (1.51%) | Black or Black British 6912.00 (1.51%) 1608.00 (1.50%) 5304.00 (1.51%) | White 431 800.00 (94.11%) | White 431 800.00 (94.11%) 100 304.00 (93.76%) 331 496.00 (94.22%) | Mixed 2628.00 (0.57%) | Mixed 2628.00 (0.57%) 615.00 (0.57%) 2013.00 (0.57%) | Unknown 3097.00 (0.67%) | Unknown 3097.00 (0.67%) 919.00 (0.86%) 2178.00 (0.62%),white: 431800; black: 6912; asian: 8983; other: 2628; unknown: 3097,,Tier 3,Extracted,anthropic,claude-opus-4-7,Opus 4.7
Not Reported,Not Reported,NCT04926233,"the Wisconsin Department of Health Services (WI‐DHS), the Centers for Disease Control and Prevention (CDC), and the Wisconsin State Laboratory of Hygiene (WSLH) performed medical chart reviews and molecular typing of RV/EV clinical specimens from a sample of pediatric patients admitted to the hospital with severe respiratory illness.",Not Reported,"Enhanced surveillance / molecular characterization study of residual RV/EV-positive clinical specimens from hospitalized pediatric patients at five Wisconsin children's hospitals (Sept 2022–April 2023), with medical chart review for demographic and clinical data.",Not Reported,False,False,False,None,American Indian 3 3.1 | naidnI naciremA ... 3 3.1 (American Indian 3 3.1) | Asian or Pacific Islander 4 4.2 | rednalsI cificaP ro naisA ... 4 4.2 (Asian or Pacific Islander 4 4.2) | Black or African American 22 22.9 | naciremA nacirfA ro kcalB ... 22 22.9 (Black or African American 22 22.9) | Asian or Pacific Islander 4 4.2 (combined category) | Fifty‐two (54%) individuals identified as White | Missing/Unknown 11 11.5; Other 4 4.2 | nwonknU/gnissiM ... 11 11.5 (Missing/Unknown 11 11.5),white: 52; black: 22; asian: 4; hispanic: 12; native_american: 3; unknown: 11,,Tier 3,Extracted,anthropic,claude-opus-4-7,Opus 4.7
