NCT Number,Condition,Intervention,Total Participants
NCT06199934,Infectious Disease,N/A,19853610
NCT03948698,Infectious Disease,N/A,4159533
NCT05727306,Dermatology,N/A,4052231
NCT04951310,Infectious Disease,PARALLEL,3827656
NCT05858450,Infectious Disease,N/A,3442996
NCT06053541,Respiratory,N/A,3015000
NCT04053075,Other,Cluster randomized controlled trial,2905455
NCT03694392,Respiratory,N/A,2776278
NCT02958995,Endocrine and Metabolic,N/A,2738161
NCT02788903,Endocrine and Metabolic,N/A,2622164
NCT01236053,Oncology,N/A,2323608
NCT05838664,Cardiovascular,N/A,2140403
NCT01657344,Hematology,N/A,2019461
NCT04926233,Respiratory,N/A,1371146
NCT05873751,Infectious Disease,N/A,1307378
NCT05020145,Infectious Disease,N/A,1277747
NCT01653405,Musculoskeletal,PARALLEL,1260576
NCT03818659,Cardiovascular,PARALLEL,1238835
NCT04903496,Endocrine and Metabolic,N/A,1233162
NCT06033521,Reproductive and Sexual Health,N/A,1036294
NCT01290445,Other,N/A,885185
NCT04224987,Other,The AVENIR mortality/resistance trial is a large simple double-masked cluster-randomized trial with response-adaptive allocation in Niger.,864493
NCT03000751,Other,FACTORIAL,864080
NCT05794997,Cardiovascular,N/A,817337
NCT04969653,Transplant and Immunology,N/A,754745
NCT05768945,Endocrine and Metabolic,N/A,742670
NCT01077817,Oncology,N/A,684815
NCT02744846,Endocrine and Metabolic,N/A,681739
NCT02138097,Endocrine and Metabolic,N/A,615067
NCT01297348,Hematology,N/A,598682
NCT03354546,Other,N/A,511285
NCT05162014,Endocrine and Metabolic,N/A,494679
NCT04927858,Endocrine and Metabolic,N/A,460558
NCT04110314,Respiratory,FACTORIAL,430636
NCT03335800,Cardiovascular,SINGLE_GROUP,419927
NCT06913153,Endocrine and Metabolic,N/A,396983
NCT00875641,Infectious Disease,N/A,390659
NCT05214573,Endocrine and Metabolic,N/A,386301
NCT04446039,Mental Health,N/A,370212
NCT01077323,Endocrine and Metabolic,N/A,363766
NCT03014167,Other,PARALLEL,357716
NCT05256797,Cardiovascular,N/A,353980
NCT03140423,Infectious Disease,Non-inferiority cluster randomized controlled trial,353323
NCT02560701,Mental Health,N/A,350823
NCT05794191,Respiratory,N/A,350399
NCT03464045,Endocrine and Metabolic,N/A,344995
NCT05027464,Infectious Disease,"One-year cluster randomized parallel group trial, stratified by VISN, using covariate constrained randomization (e.g., rural/urban clinics, facility size). Specifically, the investigators will compare a Vaccine Acceptance Intervention versus Usual Care with randomization at the level of VA Medical Center (VAMC), with the intervention directed at VAMC clinic and CBOC PACT staff members.",338718
NCT01847560,Cardiovascular,N/A,333664
NCT02864914,Endocrine and Metabolic,N/A,333580
NCT03817463,Endocrine and Metabolic,N/A,327624
