level,label,bucket,reason,consequential,n_occurrences,n_trials,example_nct,first_seen,weeks_open,resolved,parser_rules_version
category,No,,unrecognized,True,23,18,NCT01559389,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,No,,unrecognized,True,23,16,NCT04233372,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Yes,,unrecognized,True,21,16,NCT01559389,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Yes,,unrecognized,True,23,16,NCT04233372,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Don't know,,unrecognized,True,3,3,NCT04925570,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,None,,unrecognized,True,4,3,NCT00276094,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,0,,unrecognized,True,2,2,NCT00223080,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,1,,unrecognized,True,2,2,NCT00865566,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,2,,unrecognized,True,2,2,NCT00865566,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Any STI,,unrecognized,True,2,2,NCT01836445,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,F-F,,unrecognized,True,2,2,NCT02793544,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,F-M,,unrecognized,True,2,2,NCT02793544,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,M-F,,unrecognized,True,2,2,NCT02793544,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,M-M,,unrecognized,True,2,2,NCT02793544,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Mild,,unrecognized,True,2,2,NCT00276094,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Moderate,,unrecognized,True,3,2,NCT00276094,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Never,,unrecognized,True,2,2,NCT05396014,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,None,,unrecognized,True,2,2,NCT03500172,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Severe,,unrecognized,True,3,2,NCT00276094,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Sometimes,,unrecognized,True,2,2,NCT05396014,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Undecided,,unrecognized,True,2,2,NCT03308097,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,0,,unrecognized,True,1,1,NCT00865566,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,0-1,,unrecognized,True,1,1,NCT03741725,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,1,,unrecognized,True,1,1,NCT00223080,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,1 partner,,unrecognized,True,1,1,NCT02498067,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,2 or 3 times a month,,unrecognized,True,1,1,NCT00635570,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,2 or 3 times a week,,unrecognized,True,1,1,NCT00635570,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,2 partners,,unrecognized,True,1,1,NCT02498067,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,3,,unrecognized,True,1,1,NCT01234103,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,3 partners,,unrecognized,True,1,1,NCT02498067,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,3-4,,unrecognized,True,1,1,NCT00865566,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,4 partners,,unrecognized,True,1,1,NCT02498067,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,5 or more,,unrecognized,True,1,1,NCT00865566,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,5+ partners,,unrecognized,True,1,1,NCT02498067,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,> 1,,unrecognized,True,1,1,NCT00223080,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,About half the time,,unrecognized,True,1,1,NCT05161689,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Absent,,unrecognized,True,1,1,NCT03332303,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Additional Category,,unrecognized,True,1,1,NCT04047420,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Age at first intercourse <16 years,,unrecognized,True,1,1,NCT03058835,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Agree,,unrecognized,True,1,1,NCT03808883,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Always,,unrecognized,True,1,1,NCT03741725,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Anal Intercourse with Condom Failure,,unrecognized,True,1,1,NCT03313310,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Approximately once a week,,unrecognized,True,1,1,NCT00635570,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Baseline Providers,,unrecognized,True,1,1,NCT05328648,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Bi-Sexual,,unrecognized,True,1,1,NCT03277794,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,CLAI in past 3 months,,unrecognized,True,1,1,NCT06187415,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Cannot Be Reported Due to Participant Privacy,,unrecognized,True,1,1,NCT04586244,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Chlamydia,,unrecognized,True,1,1,NCT03881007,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Demisexual,,unrecognized,True,1,1,NCT03912753,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Did not have receptive sex without a condom in past 3 months,,unrecognized,True,1,1,NCT03897049,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Did not specify,,unrecognized,True,1,1,NCT06425458,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Disagree,,unrecognized,True,1,1,NCT03808883,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Does not apply (providers),,unrecognized,True,1,1,NCT04584294,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Don't know,,unrecognized,True,1,1,NCT04922216,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,ELL (English Language Learner),,unrecognized,True,1,1,NCT04717479,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Endline Providers,,unrecognized,True,1,1,NCT05328648,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Every time,,unrecognized,True,1,1,NCT05161689,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Exploring,,unrecognized,True,1,1,NCT03487796,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,F to M,,unrecognized,True,1,1,NCT02641236,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,"F/F, M/M, M/F",,unrecognized,True,1,1,NCT00245037,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,F/M,,unrecognized,True,1,1,NCT00245037,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Frequent sexual activity (3+ times/week),,unrecognized,True,1,1,NCT03058835,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Frequently / always,,unrecognized,True,1,1,NCT02516202,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Gender matched transplants,,unrecognized,True,1,1,NCT00745420,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Gonorrhea,,unrecognized,True,1,1,NCT03881007,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Greater than or equal to 1 x month,,unrecognized,True,1,1,NCT01655498,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Had no sexual activity in the last half of the year or vaginal sex less than 3 times per one month,,unrecognized,True,1,1,NCT03894813,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Had receptive sex without a condom in past 3 months,,unrecognized,True,1,1,NCT03897049,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Having a sexual partner living with HIV in past 3 months,,unrecognized,True,1,1,NCT06187415,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,LGBQ,,unrecognized,True,1,1,NCT02332239,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,LGBTQ+,,unrecognized,True,1,1,NCT05838027,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Less than 1 x per month,,unrecognized,True,1,1,NCT01655498,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Less than half the time,,unrecognized,True,1,1,NCT05161689,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,MST negative,,unrecognized,True,1,1,NCT02039856,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,MST positive,,unrecognized,True,1,1,NCT02039856,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,More than 3 times a week,,unrecognized,True,1,1,NCT00635570,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,More than half the time,,unrecognized,True,1,1,NCT05161689,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,More than one endorsement,,unrecognized,True,1,1,NCT03487796,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Multiple identities,,unrecognized,True,1,1,NCT04342494,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Neutral,,unrecognized,True,1,1,NCT03808883,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Never / rarely,,unrecognized,True,1,1,NCT02516202,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,No History of STI Diagnosis,,unrecognized,True,1,1,NCT02128217,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,No Sex Partners,,unrecognized,True,1,1,NCT03670355,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,No did not have sex in past 3 months at Baseline,,unrecognized,True,1,1,NCT02847858,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,No same sex partner,,unrecognized,True,3,1,NCT04680611,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,"No, not within last 3 months",,unrecognized,True,1,1,NCT02494817,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Non-use,,unrecognized,True,1,1,NCT03741725,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Not Sexually Active with ED,,unrecognized,True,1,1,NCT00384930,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Not Sexually Active without ED,,unrecognized,True,1,1,NCT00384930,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Not applicable,,unrecognized,True,1,1,NCT05376358,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Not sexually active,,unrecognized,True,1,1,NCT03624972,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Occasionally,,unrecognized,True,1,1,NCT02516202,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
