level,label,bucket,reason,consequential,n_occurrences,n_trials,example_nct,parser_rules_version
category,Female,female,mapped,True,78815,77913,NCT03267134,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Male,male,mapped,True,78803,77903,NCT03267134,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Female,female,mapped,True,1492,1477,NCT04404855,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Male,male,mapped,True,1424,1410,NCT04404855,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Gender,,structural_or_group,False,170,170,NCT04016558,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Unknown,unknown,mapped,True,174,168,NCT01998035,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Other,gender_diverse,mapped,True,152,145,NCT03652675,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Sex,,structural_or_group,True,117,117,NCT03432364,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Other,gender_diverse,mapped,True,107,102,NCT05407935,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Unknown,unknown,mapped,True,104,82,NCT04016558,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Missing,unknown,mapped,True,81,80,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Non-binary,gender_diverse,mapped,True,55,55,NCT04404855,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Bisexual,,sexual_orientation,True,52,52,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Transgender,gender_diverse,mapped,True,48,48,NCT03652675,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Woman,female,mapped,True,47,47,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Man,male,mapped,True,46,46,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Missing,unknown,mapped,True,59,45,NCT01657344,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Sex/Gender,,unrecognized,False,35,35,NCT05965726,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Caregivers,,unrecognized,False,33,33,NCT04308512,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Non-binary,gender_diverse,mapped,True,32,31,NCT04925570,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,female,female,mapped,True,31,31,NCT00684320,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Women,female,mapped,True,29,29,NCT03047005,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,male,male,mapped,True,29,29,NCT00684320,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Man,male,mapped,True,28,28,NCT06290180,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Females,female,mapped,True,27,27,NCT01019135,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Woman,female,mapped,True,26,26,NCT06290180,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Patients,,structural_or_group,False,25,25,NCT04912245,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Males,male,mapped,True,23,23,NCT03109418,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Non-Binary,gender_diverse,mapped,True,23,23,NCT03856437,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Prefer not to answer,unknown,mapped,True,24,23,NCT04599166,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Prefer not to answer,unknown,mapped,True,25,23,NCT03985800,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Bisexual,,sexual_orientation,True,22,22,NCT03313310,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Heterosexual,,sexual_orientation,True,22,22,NCT04925570,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Transgender,gender_diverse,mapped,True,22,22,NCT03058952,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,FEMALE,female,mapped,True,21,21,NCT01607593,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,MALE,male,mapped,True,21,21,NCT01607593,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,No,,unrecognized,True,23,18,NCT01559389,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Nonbinary,gender_diverse,mapped,True,18,18,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Not Reported,unknown,mapped,True,19,18,NCT01735916,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Gender Identity,,unrecognized,False,17,17,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Part A,,unrecognized,False,17,17,NCT03537651,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Queer,,sexual_orientation,True,18,17,NCT04925570,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Unspecified,unknown,mapped,True,17,17,NCT01245387,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,No,,unrecognized,True,23,16,NCT04233372,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Yes,,unrecognized,True,21,16,NCT01559389,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Yes,,unrecognized,True,23,16,NCT04233372,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Asexual,,sexual_orientation,True,15,15,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Children,,structural_or_group,False,15,15,NCT05048433,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Gay,,sexual_orientation,True,15,15,NCT02796963,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
