name,n_trials,roles,agency_class,rules_sha256
University of Western Sydney,2,lead,OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Acrotech Biopharma,1,collaborator,UNKNOWN,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Aplos Medical,1,lead,INDUSTRY,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
California Department of Cannabis Control (DCC),1,collaborator,UNKNOWN,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"CervoMed, Inc.",1,collaborator,INDUSTRY,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Christian Hospital Chhatarpur,1,collaborator,UNKNOWN,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Coefficient Giving,1,collaborator,OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Community Servings,1,collaborator,OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
European University Cyprus,1,collaborator,OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Foundation for OCD Research,1,collaborator,UNKNOWN,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"ImmunoChem Therapeutics, LLC",1,lead,INDUSTRY,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"Inquis Medical, Inc.",1,lead,INDUSTRY,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"Joshua Woolley, MD, PhD",1,lead,OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Kevin Munro,1,lead,OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"MapKure, LLC",1,lead,INDUSTRY,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"Merck KGaA, Darmstadt, Germany; Gilead Sciences; Nektar Therapeutics",1,collaborator,UNKNOWN,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Mya Schiess,1,lead,OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Northwestern Medicine,1,collaborator,OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
South Carolina Spinal Cord Injury Research Fund,1,collaborator,UNKNOWN,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
